lang,script,script_type,segmentor,language_name,family,genus,typology,dominant_script_pct,original_token_count,original_type_count,current_token_count,current_type_count,last_type_frequency,type_token_ratio,corpus_zipf_slope,compress_ratio,compress_reduction_pct,token_frequency_entropy,token_frequency_perplexity,avg_type_length,avg_token_length,hapax_type_ratio,single_token_type_ratio,word_count,word_total_frequency,word_ttr,word_entropy,word_perplexity,word_zipf_slope,morph_zipf_slope,word_hapax_ratio,morph_hapax_ratio,word_avg_length,word_avg_length_weighted,morph_count,morph_total_frequency,morph_ttr,morph_entropy,morph_perplexity,morph_type_entropy,morph_type_perplexity,morph_avg_length,morph_avg_length_weighted,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy,root_count,affix_count,prefix_count,suffix_count
fin,Latn,alphabet,MorphoChallenge,Finnish,Uralic,Finnic,Agglutinative,99.96,660781477,17758132,621134590.0,702267,29,0.7470950472180583,-1.2951108982842554,0.764974,23.5,13.960848256777991,15945.351239798109,11.296461317419158,7.173882038995767,0.9999843364418376,0.0,702283.0,958870.880000834,0.7324062234525145,14.301662565240358,20194.32865703172,-1.2949433268325794,-1.6646737400672753,1.0,0.695784755186469,11.296760707578,7.395857760321007,196762.0,2026010.119998294,0.0971179749093087,9.86164742111861,930.3613933135308,11.181399999738694,2322.398773358411,7.650872627844808,3.5002879368666915,2.8231624572999774,2.1428483958745974,0.6803140614253798,0.1953471748568597,0.2426884888285776,0.7955690977620468,-0.0145194158270123,2.112912345402889,1.7787918244000165,0.3341205210028001,0.0702331590254558,0.1653104649499543,0.8830544025673619,-0.0009154455117566,9.663138590594109,7.851863167709815,8.083530159196998,6.18070004799665,11.041654822178694,8.822354092963462,8.833459782146331,7.211370338504645,195604.0,4211.0,2008.0,2333.0
fra,Latn,alphabet,MorphoLex,French,Indo-European,Romance,Fusional,99.87,2207291174,10158965,2074853825.0,32063,2980,0.0341095704765396,-1.2152014449220592,0.737776,26.22,10.406155539421896,1356.953473045091,7.964944016467579,4.8431351138676,0.9999688114025512,0.0,32063.0,940016.916000006,0.0341089606519376,10.721920061395863,1688.9607209677845,-1.2139646769836756,-1.408895609777461,1.0,0.7831848502484666,7.9651935252471695,5.024561000559665,22337.0,1195651.3290000134,0.018681867747081,10.015194004997255,1034.8414311302722,11.98165475433749,4044.2452002945975,6.748041366342839,3.950288388798292,1.6341265633284472,1.0249508779590182,0.6091756853694289,0.112528459595172,0.4961793968125253,0.7540248885007405,0.1617900172117039,1.2719466093097571,1.0098717404357838,0.2620748688739549,0.0377494781168384,0.2242558132858099,0.888994603422644,0.1530037747593508,10.308039018873018,5.650913489383337,5.031505160798939,5.111315662244394,14.05737290403513,6.036955802161199,5.033211750994055,5.504889126540863,22141.0,446.0,138.0,347.0
fry,Latn,alphabet,,Frisian,Indo-European,Germanic,Fusional,99.91,26072165,996328,24507838.0,68550,13,0.0729255611627314,-1.2295841373855236,0.780298,21.97,10.52777193502008,1476.301768309132,8.014500364697302,4.505460824410542,0.9999708242159008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gla,Latn,alphabet,,Gaelic (Scots),Indo-European,Celtic,Fusional,99.82,4739721,250687,4455339.0,32234,6,0.0342913430398205,-1.2396657989711544,0.773797,22.62,10.310385007258974,1269.7995067243685,7.396910094930818,4.51138128883122,0.9999689768567352,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gle,Latn,alphabet,,Irish,Indo-European,Celtic,Fusional,99.88,227458246,3794750,213810903.0,44344,161,0.0471744310983491,-1.3085846154315794,0.749985,25.0,10.519991445615634,1468.361467370303,7.697591556918636,4.730479254371794,0.9989626556016598,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glg,Latn,alphabet,,Galician,Indo-European,Romance,Fusional,99.77,371358317,4117496,349076841.0,44741,335,0.0475968071941317,-1.2526717081101728,0.749839,25.02,10.793362364477792,1774.703581630546,7.799602154623276,4.945642363596386,0.9999776491361392,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glk,Arab,abjad,,Gilaki,Indo-European,Iranian,Fusional,96.77,20138023,651837,18929750.0,42107,16,0.0447947091575104,-1.335546512896067,0.85242,14.76,11.048926517622482,2118.645532893132,5.304106205619018,3.548961660877719,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsw,Latn,alphabet,,German (Thurgau),Indo-European,Germanic,Fusional,99.87,10945704,977279,10288962.0,207260,3,0.2204922273975333,-1.1124434439330184,0.813489,18.65,12.010597660507708,4126.198925813898,8.839809900607932,4.712188168252541,0.9998504294123324,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guj,Gujr,abugida,,Gujarati,Indo-European,Indic,Fusional,85.59,319922531,5445982,300727238.0,102287,109,0.1088159911334692,-1.3092248732976166,0.751353,24.86,12.134605202413898,4496.55750118999,6.833800971775495,4.6428533553718205,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hat,Latn,alphabet,,Haitian Creole,other,Creoles and Pidgins,Isolating,99.64,99424093,2611978,93458679.0,60601,50,0.0644691569605276,-1.3190394618551962,0.808869,19.11,10.874354376256498,1877.1840295855063,6.428408772132473,4.080821225816813,0.999983498622135,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau,Latn,alphabet,,Hausa,Afro-Asiatic,West Chadic,Isolating,82.25,123258766,2647523,115863291.0,47162,76,0.0501723156062503,-1.3440890788396096,0.791824,20.82,10.700341002001954,1663.8861450056015,6.468512785717315,4.419715852883896,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haw,Latn,alphabet,,Hawaiian,Austronesian,Oceanic,Agglutinative,95.87,33631799,1309713,31613895.0,75528,14,0.0803491061855212,-1.2447814117287443,0.826453,17.35,10.387022637508352,1339.0764723532254,6.813287787310666,3.793522247100523,0.9997219574197648,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbs,Latn,alphabet,Morphynet,Serbian-Croatian,Indo-European,Slavic,Fusional,67.17,679947593,11675735,639150781.0,152283,185,0.1620032654248942,-1.2485383320795445,0.780542,21.95,12.506458206565576,5818.607463587969,8.024730271927924,5.221234161333208,1.0,0.0,152282.0,960726.6820000128,0.1585070997330726,12.768986690590534,6979.880834505697,-1.24819882510654,-1.3541537939578443,1.0,0.8706106870229008,8.024776401675838,5.393792079566634,115280.0,1275594.52500025,0.0903735456217777,11.356306190431136,2621.7350685425413,14.517535692552023,23453.82641641092,7.599340735600277,4.062366972764315,1.433491811244927,1.0166795813031086,0.4168122299418185,0.2064262355367016,0.2103400270550688,0.7942824277765258,-0.0011778563015312,1.3277392508185464,1.00683646360932,0.3209027872091597,0.1867672985062264,0.134129554653087,0.8410729035177364,-0.0002910581278054,12.210386359320442,6.329309517369986,4.794021130936264,6.6115558461987005,16.44746476046559,6.974255846004398,5.297484238284004,7.036215251894018,115057.0,840.0,393.0,595.0
heb,Hebr,abjad,,Hebrew (Modern Ashkenazic),Afro-Asiatic,Semitic,Introflexive,93.93,497595676,5427804,467740036.0,121135,192,0.1288671195720422,-1.2551417440581654,0.853283,14.67,13.16601690353138,9191.068680272916,5.783250092871589,4.323123845229276,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hif,Latn,alphabet,,Fiji Hindi,Indo-European,Indic,Fusional,99.77,11909669,526182,11195089.0,45386,9,0.0482828647963913,-1.3011337639019902,0.831672,16.83,10.911142328353758,1925.666733051193,5.985788569162297,3.956486098502656,0.999933900321685,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hin,Deva,abugida,kcis,Hindi,Indo-European,Indic,Fusional,83.33,552586610,4142136,519432093.0,21948,1001,0.0233489063879375,-1.2833542645614453,0.756945,24.31,10.395472465588387,1346.9424219655696,5.777884089666484,3.884382981318792,1.0,0.0,21947.0,954872.7340000008,0.022984214773903,10.608898871110943,1561.697018502559,-1.2818444804368303,-1.4949755314563633,1.0,0.757565313297029,5.778056226363512,3.973439132675032,14507.0,1704602.532000051,0.0085104883558858,8.78876993765737,442.2658194934826,11.357445497923186,2623.806290835066,4.90928517267526,2.2258142979221422,1.8765662732947557,1.0609650521711396,0.815601221123616,0.0899895202077732,0.7212830910830638,0.6210856457222806,0.0037453183520599,1.7851620130144088,1.0246421173860842,0.7605198956283163,0.1774892328216802,0.5820478679622696,0.6433416038176883,0.0383066686596074,9.737906164787011,5.876837258262635,4.396499361343715,5.772033442280177,13.291419718794234,6.876253124723802,6.3323545498565625,6.6871275038115305,14251.0,655.0,192.0,592.0
hmn,Latn,alphabet,,Hmong,Hmong-Mien,Hmongic,Isolating,97.95,61626477,1550383,57928927.0,21323,68,0.0226840269398249,-1.375623841449697,0.772724,22.73,9.646252571264329,801.3299402980587,6.175772639872438,3.9248654648825103,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrv,Latn,alphabet,CroDeriV,Croatian,Indo-European,Slavic,Fusional,99.82,1136493682,9010643,1068304306.0,97956,540,0.1042084793757544,-1.215700139735806,0.766705,23.33,12.106145269654796,4408.723457465397,7.96573971987423,5.167063753274809,1.0,0.0,97955.0,961450.6440000044,0.1018825049536287,12.346491592935417,5207.920076363372,-1.215229405861867,-1.6108066162170598,1.0,0.6620600180505415,7.965810831504262,5.334140903648901,35456.0,2118295.951999962,0.0167379822288404,8.820420636330644,452.0757233903344,10.356440501707551,1310.989578419602,6.221598601083032,2.4210490126075124,2.6905722015211064,1.4679087336021643,1.2226634679189423,0.3632382216323822,0.7392680312388341,0.6075505516381698,0.190671350507416,2.2032290115143813,1.3449728460528538,0.8582561654615739,0.2693719065208699,0.5247746341932806,0.690942424299322,0.165689406915302,9.329340580747008,6.378589995329681,5.195413212133911,5.871382961453782,11.443996904206983,7.108387257487923,5.542379955245802,6.863150821873993,35300.0,1035.0,491.0,763.0
hsb,Latn,alphabet,,Sorbian (Upper),Indo-European,Slavic,Fusional,99.5,9360515,518353,8798887.0,103553,5,0.1101631500050121,-1.1817551899914334,0.740205,25.98,12.122383844213497,4458.627148009998,8.134636369781658,5.14304206884348,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun,Latn,alphabet,LDC_RLP,Hungarian,Uralic,Ugric,Agglutinative,99.94,1256924387,18649899,1181508970.0,316281,137,0.3364688980162692,-1.259530574683969,0.737115,26.29,12.47627802612859,5698.150558164308,9.573739807323236,5.846165321114744,1.0,0.0,316280.0,901465.9419999978,0.3508507479476144,13.324915944609254,10261.22921628695,-1.2593079819785082,-1.6212222535570602,1.0,0.6981058425146136,9.573766915391426,6.375876896966578,102473.0,1659774.521000107,0.0617391089593629,10.261546136965858,1227.5330365878324,11.638218148703311,3187.51882877304,6.822089721194852,3.462891990616135,2.50405653218667,1.5098235740483117,0.9942329581383584,0.2231883141520172,0.6419153914253194,0.6668284770275713,0.1268563472797372,1.841194928915231,1.2868627875461838,0.5543321413689154,0.1138198596525563,0.3857517137347463,0.7897531728195964,0.1110932889897311,10.445773152479116,7.624098589731608,7.295067214085139,6.988813771390491,12.582762037590848,8.108690361756729,7.750525102582682,7.460360307309893,101763.0,2706.0,1303.0,1885.0
hye,Armn,alphabet,Uniparser,Armenian (Eastern),Indo-European,Armenian,Fusional,95.81,90442568,3611853,85016022.0,224488,14,0.2388173637508483,-1.3040119460205442,0.692547,30.75,12.921149223856808,7756.28028943898,8.955440825344784,6.342706778258808,0.9999955454189088,0.0,224488.0,950247.9129993116,0.2362415080622888,13.297298505353227,10066.667203770792,-1.3038177350224964,-1.4611915436420146,1.0,0.8057485863137372,8.955449734506967,6.622397902603507,123613.0,1592555.245000543,0.0776192853516725,9.804528107700405,894.2460978897458,11.851610043765614,3695.643922967678,8.399877035586872,3.95144378303676,1.81721962866612,1.5031582979936566,0.3140613306724635,0.021404262143188,0.2313353052278963,0.878948763408229,0.2719233603537214,1.67593658793011,1.4302041324250607,0.2457324555051937,0.0208342304457284,0.1803831007205055,0.8995370942742733,0.1942648780428607,10.000602951392834,4.939061821577781,2.585816975316678,4.835942770109592,12.486990955742312,5.008652497857127,1.6427551783849437,4.9930458873901085,123581.0,137.0,29.0,128.0
ibo,Latn,alphabet,,Igbo,Niger-Congo,Igboid,Isolating,99.47,45904945,1324636,43150660.0,53844,27,0.0572807837893702,-1.326205325492073,0.785923,21.41,10.938895579160056,1963.069559858632,6.366856102815541,4.185865592785834,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ido,Latn,alphabet,,Ido,other,Constructed,Agglutinative,99.21,9379265,279386,8816512.0,21232,15,0.02258722053828,-1.2002938375012917,0.6869,31.31,8.862149537935332,465.3426267220468,7.214487565938207,4.66002859180592,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iku,Cans,syllabary,,Inuktitut,Eskimo-Aleut,Eskimo,Polysynthetic,98.68,5244508,1436860,4929838.0,1113285,1,1.184055745494183,-0.6893585089316737,0.640865,35.91,15.1394405457234,36093.227741104456,11.337907184593345,7.60398718984275,1.0,0.7595512380028474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ilo,Latn,alphabet,,Ilocano,Austronesian,Northern Luzon,Agglutinative,99.71,4154961,263989,3905664.0,42729,4,0.0454564826928306,-1.1477660785492767,0.751609,24.84,9.123228444160413,557.6547669428084,7.990451449835007,4.863065025562875,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ina,Latn,alphabet,,Interlingua,other,Constructed,Isolating,99.6,5934314,416262,5578256.0,75488,4,0.080305807681484,-1.1951866953305978,0.785906,21.41,11.13294898855445,2245.699207604257,7.504689487070792,4.921836323037164,0.999986752861382,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ind,Latn,alphabet,LDC_RLP,Indonesian,Austronesian,Malayo-Sumbawan,Agglutinative,99.72,2199538692,11169512,2067566373.0,25293,3788,0.026907448182508,-1.299727546663065,0.724273,27.57,11.227363782062518,2397.5809023649485,7.256236903491084,5.981845850034048,1.0,0.0,25292.0,967185.6990000104,0.0261500971593664,11.392899138678024,2689.084059748665,-1.2984652719095329,-1.436508940164204,1.0,0.8224865102962229,7.256365649217144,6.0490848366027565,18162.0,1395395.7560000042,0.0130156623466181,9.54690277962646,748.0043135814614,11.287713466507578,2500.0018835556143,5.9466468450611165,4.192778885017608,1.5922821445516369,1.0153012810374822,0.5769808635141547,0.2944013917444251,0.2820654752490906,0.780530075386159,0.0438527799530148,1.44273820161187,1.0091839726426717,0.4335542289692136,0.2421024082987372,0.1895945609923645,0.8277083276366152,0.0133223819201456,10.675852142617252,4.208843003487864,3.7661431217803143,2.542125799764392,13.791318200914864,4.333748271810399,3.9155170822990417,2.7633833484320114,18044.0,235.0,90.0,169.0
isl,Latn,alphabet,,Icelandic,Indo-European,Germanic,Fusional,99.97,1623890003,14967373,1526456952.0,106092,514,0.1128638121372541,-1.2574807086582018,0.748538,25.15,11.181595273682012,2322.713139628934,8.731704558307884,4.808525430332607,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ita,Latn,alphabet,DerIvaTario,Italian (Fiorentino),Indo-European,Romance,Fusional,99.88,2602392593,10821872,2446251901.0,34610,3391,0.036819109101028,-1.2230831125510453,0.752087,24.79,10.780439362759427,1758.8775862266057,8.050043340075122,4.993752228462755,1.0,0.0,34609.0,956483.5999999949,0.0361835791016178,11.000973023616051,2049.3817365865825,-1.222009847934664,-1.4769253477560838,1.0,0.7658962136882813,8.050218151347915,5.129956607724405,22238.0,1466971.2240000516,0.0151591248936449,9.855844381155569,926.6266603825349,11.884889468448154,3781.88418597692,6.286941271697095,3.3447959194595813,1.8823138489988156,1.056488196711838,0.8258256522869774,0.224710335461874,0.5921292149440897,0.6747247825709854,0.1778728606356968,1.5337128874975006,1.0197784698033514,0.5139344176941464,0.2003915007011104,0.3107605148692546,0.7780536075230954,0.1756126127552566,10.428292670894256,6.683251091259611,4.83310032036684,6.639956481293267,13.912171336311244,7.255750087263228,5.59385905161975,7.052105089943963,21980.0,759.0,252.0,649.0
jav,Latn,alphabet,,Javanese,Austronesian,Javanese,Agglutinative,99.62,10106707,643864,9500307.0,91343,5,0.0971729418568271,-1.2777988123546655,0.77466,22.53,12.273507293592544,4951.01049996407,7.307544092048651,5.736417465246123,0.9999890522535936,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kal,Latn,alphabet,,Greenlandic (South),Eskimo-Aleut,Eskimo,Polysynthetic,100.0,3749561,691070,3524588.0,402734,1,0.4284410855104309,-1.0007791352454738,0.646354,35.36,14.64013528477386,25534.059220484454,17.054723465115934,12.021095798998353,0.9999925509144992,0.4008427398729682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kan,Knda,abugida,kcis,Kannada,Dravidian,Dravidian,Agglutinative,97.56,206372536,7608492,193990194.0,480029,13,0.510661513460081,-1.3553991507787089,0.678812,32.12,14.3004522165886,20177.39373471096,9.780252859723058,6.897661852949124,0.9999979167925273,0.0,480029.0,981652.4280016536,0.4890009807006675,14.43297670139584,22118.665143041188,-1.3556108422339916,-1.6542991155251363,1.0,0.7256650214351844,9.780273691797786,6.933065294663068,169581.0,2940795.423012691,0.0576650108582776,8.359723592932196,328.49408730837206,9.033407437860854,523.99434716117,7.499554785028983,2.314291160051913,3.7294455126669432,3.408412825058486,0.321032687608457,0.0152615779463324,0.1898322809663583,0.9106150979503886,0.019345238095238,2.995760351743605,2.7970731703784844,0.1986871813651094,0.0116533598590362,0.1273035500501783,0.9347931255059888,-0.0249120035314755,8.147386780548842,6.720932328336888,5.593268963080182,6.378942170855806,8.7653677632579,7.347975049788097,6.71537509547986,6.977983040864705,169267.0,1371.0,400.0,859.0
kat,Geor,alphabet,MorphAGram,Georgian,Kartvelian,Kartvelian,Agglutinative,87.26,678888546,11077029,638155270.0,235515,103,0.2505476185943123,-1.3140712180397236,0.7369,26.31,13.481371810748769,11436.60963805863,8.854005052756724,6.794393071454224,1.0,0.0,235514.0,959652.3239999252,0.2454159637923394,13.794050388965504,14204.401148644642,-1.3138126823262424,-1.6716309914279863,1.0,0.6430050472369613,8.854034155082076,6.995970333314718,77270.0,2554482.1000045133,0.0302487928961661,8.462772741620414,352.8161379495082,9.177103131634974,578.8730298600101,6.521664294033907,2.6281975046871744,3.188409181619776,2.678944776106728,0.5094644055130481,0.1207571524410438,0.2400324396851142,0.856928046825881,0.0503799141063759,2.661882888328932,2.305352282980291,0.3565306053487569,0.1069781351355403,0.1438959335026723,0.8917015263041783,0.0607578855246256,8.297036146601336,5.780985050567786,4.195500680152703,4.704216164887431,9.02152326153948,6.307582426935447,5.07230788095513,5.08952737361621,77062.0,929.0,409.0,435.0
kaz,Cyrl,alphabet,,Kazakh,Altaic,Turkic,Agglutinative,96.8,457504386,8300445,430054219.0,161555,103,0.1718669978734336,-1.34037039104057,0.684049,31.6,13.528634377699165,11817.476519373287,8.839720219120423,6.807099513654579,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kin,Latn,alphabet,,Kinyarwanda,Niger-Congo,Bantu,Agglutinative,99.91,13276941,685365,12480325.0,88987,6,0.0946667814876067,-1.273505207144446,0.719824,28.02,12.069832588271952,4299.140630736609,8.460449279108184,5.894832466301959,0.9998089608594514,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kir,Cyrl,alphabet,,Kirghiz (Fu-Yu),Altaic,Turkic,Agglutinative,97.53,69638235,2098184,65459958.0,121224,23,0.1289615653460875,-1.3027600624084452,0.711038,28.9,13.111982629864626,8853.195899851651,8.611991024879561,6.435503044471859,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,Hang,syllabary,,Korean,Korean,Korean,Agglutinative,89.25,96645812,8097805,90847065.0,2228267,2,2.3701851242533447,-1.218203831492176,0.859856,14.01,15.754332359079177,55274.72642117678,4.729069720998426,3.010112159374659,0.9999524293991698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat,Latn,alphabet,WFL,Latin,Indo-European,Romance,Fusional,99.48,41847723,1990258,39336866.0,215617,8,0.2293787557619893,-1.241713830673427,0.785997,21.4,13.014917402153964,8277.144349144011,8.426241901148796,5.751539535457654,1.0,0.0,215616.0,962577.3690010536,0.2239986176111356,13.281550065486512,9957.377187958864,-1.2414948075952283,-1.6390746341985551,1.0,0.6577443822215921,8.426271705253784,5.897369332390555,70535.0,1670976.843999139,0.0422118357015582,9.899673872299871,955.2098294495144,11.377288799214783,2660.144313745776,6.464506982349189,3.397205535424501,2.1417937444345503,1.4333722914811518,0.7084214529533986,0.0641928242802018,0.5578203843870585,0.7082121302067814,0.028113356667043,1.7359402971785831,1.338107349580879,0.3978329475971121,0.0256147129509075,0.3380246248025366,0.824716856846257,0.0205047733126044,10.086468139480472,6.29709577130285,4.512723878564263,5.972128435223986,12.325213089866285,6.8415617539257205,4.3642962877846925,6.614441340754946,70330.0,858.0,223.0,728.0
lav,Latn,alphabet,,Latvian,Indo-European,Baltic,Fusional,99.85,10230258,337155,9616447.0,57427,10,0.0610928587208071,-1.2071015328611574,0.706246,29.38,12.332633334026314,5158.133273706134,8.286050115799188,6.091729928943611,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lim,Latn,alphabet,,Limburgish,Indo-European,Germanic,Fusional,99.88,15858059,860690,14906579.0,132792,5,0.1412692211213634,-1.1874869691944387,0.802803,19.72,11.65142696562887,3216.8366561039065,8.034173745406349,4.759472646272495,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
